lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,queue_depth,machine_load,utilization_percent,qc_failures,completion_hours
Single Vision,3.41,1.67,Blue Cut,Franchise,0,0,10,97,43,2,218.85
Single Vision,-5.8,1.56,Blue Cut,Retail,0,1,27,69,99,2,186.61
Single Vision,3.8,1.56,Photochromic,Franchise,0,0,3,98,79,1,194.6
Single Vision,-5.11,1.67,Blue Cut,Franchise,0,0,39,13,21,1,260.13
Progressive,-7.62,1.67,Standard,Hospital,1,1,14,81,97,3,164.02
Single Vision,-4.74,1.67,Standard,Retail,0,1,0,98,90,0,81.29
Progressive,-5.62,1.50,Photochromic,Retail,0,1,4,50,47,0,85.46
Single Vision,-4.27,1.56,Blue Cut,Hospital,1,1,36,56,97,2,205.1
Progressive,-1.26,1.67,Standard,Retail,0,0,12,60,82,0,197.46
Bifocal,-5.01,1.56,Blue Cut,Retail,0,0,21,37,85,1,209.76
Progressive,-0.4,1.74,Photochromic,Hospital,1,0,27,98,81,0,290.55
Single Vision,-3.77,1.56,Standard,Franchise,0,0,23,88,78,0,230.74
Single Vision,-7.22,1.56,Standard,Franchise,0,0,16,68,21,1,210.59
Single Vision,-0.39,1.67,Blue Cut,Hospital,1,0,3,64,94,2,168.48
Single Vision,1.64,1.56,Photochromic,Hospital,0,0,32,82,78,4,321.12
Single Vision,0.53,1.67,Standard,Franchise,0,1,38,91,20,2,239.89
Single Vision,-6.64,1.74,Photochromic,Franchise,0,0,1,10,67,3,176.5
Single Vision,-4.65,1.67,Photochromic,Hospital,0,1,10,81,55,3,154.36
Progressive,-3.53,1.74,Photochromic,Hospital,0,1,34,89,80,0,226.75
Single Vision,0.93,1.67,Standard,Franchise,0,0,29,47,70,2,257.57
Single Vision,-3.8,1.67,Blue Cut,Retail,0,1,18,13,54,0,85.88
Bifocal,0.97,1.74,Standard,Hospital,1,1,32,72,51,0,189.98
Single Vision,-5.97,1.67,Photochromic,Hospital,1,0,31,56,42,1,255.82
Single Vision,2.18,1.50,Blue Cut,Franchise,0,1,34,59,44,4,221.26
Single Vision,-7.94,1.67,Standard,Hospital,0,1,22,24,85,2,150.97
Single Vision,-0.91,1.50,Standard,Hospital,0,1,36,17,72,3,186.86
Single Vision,-0.53,1.50,Standard,Hospital,0,1,15,22,49,2,110.39
Single Vision,-7.06,1.50,Photochromic,Franchise,0,1,0,67,20,1,90.46
