lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,qc_failures,completion_hours
Bifocal,3.59,1.67,Blue Cut,Retail,1,0,0,77
Progressive,-2.85,1.50,Photochromic,Hospital,0,1,0,66
Bifocal,-0.27,1.67,Anti Glare,Hospital,0,1,0,76
Bifocal,-7.08,1.74,Anti Glare,Hospital,0,1,2,90
Progressive,-0.62,1.67,Anti Glare,Retail,0,0,0,98
Progressive,2.27,1.50,Blue Cut,Premium,1,1,2,65
Progressive,-7.67,1.50,Blue Cut,Premium,1,1,2,76
Single Vision,-6.22,1.56,Standard,Retail,1,0,2,89
Bifocal,-2.68,1.56,Blue Cut,Premium,1,1,2,53
Single Vision,-5.62,1.50,Photochromic,Retail,1,0,0,65
Bifocal,-7.28,1.56,Anti Glare,Retail,1,1,0,65
Single Vision,-4.05,1.74,Anti Glare,Retail,1,0,2,66
Bifocal,1.24,1.67,Anti Glare,Retail,1,0,0,57
Progressive,-1.37,1.67,Anti Glare,Premium,0,1,1,98
Single Vision,-5.03,1.74,Anti Glare,Premium,1,1,0,29
Bifocal,-2.22,1.50,Photochromic,Retail,0,0,2,95
Single Vision,1.36,1.67,Photochromic,Premium,1,0,0,80
Bifocal,-7.63,1.56,Standard,Hospital,0,1,2,86
Progressive,-1.37,1.74,Photochromic,Retail,1,0,2,146
Bifocal,-4.47,1.50,Anti Glare,Hospital,1,1,0,64
Bifocal,0.65,1.67,Blue Cut,Retail,0,1,3,90
Single Vision,-0.8,1.67,Anti Glare,Premium,0,1,1,54
Single Vision,-4.25,1.67,Photochromic,Retail,1,0,2,91
Bifocal,-3.63,1.74,Standard,Hospital,1,1,1,62
Single Vision,-3.74,1.50,Anti Glare,Retail,0,0,2,68
Bifocal,-3.65,1.74,Standard,Premium,0,1,0,48
Progressive,-7.71,1.50,Blue Cut,Premium,0,0,0,129
Progressive,-1.9,1.50,Anti Glare,Hospital,1,1,3,57
Progressive,-3.4,1.50,Standard,Hospital,0,0,3,118
Single Vision,0.59,1.56,Blue Cut,Premium,1,1,1,39
Single Vision,-4.82,1.74,Blue Cut,Retail,0,0,1,85
Progressive,-6.47,1.56,Blue Cut,Hospital,0,1,2,79
Progressive,-2.72,1.56,Blue Cut,Premium,0,0,3,140
Bifocal,2.98,1.50,Standard,Retail,1,0,2,72
Progressive,-3.11,1.50,Photochromic,Premium,1,1,0,48
Bifocal,-2.94,1.56,Standard,Hospital,1,1,0,60
Bifocal,-0.32,1.56,Photochromic,Premium,0,0,0,96
Progressive,0.39,1.74,Standard,Premium,1,1,1,99
Progressive,-6.59,1.67,Standard,Retail,1,1,3,98
Progressive,-5.19,1.50,Anti Glare,Premium,0,1,0,72
Single Vision,3.7,1.50,Photochromic,Hospital,0,0,1,70
Single Vision,-2.33,1.50,Standard,Premium,0,0,1,46
Single Vision,-4.18,1.50,Photochromic,Retail,1,0,1,41
Progressive,-2.14,1.50,Photochromic,Hospital,0,1,3,112
Progressive,-7.34,1.50,Blue Cut,Hospital,1,1,1,108
Bifocal,-2.45,1.50,Photochromic,Premium,1,0,2,91
Progressive,2.7,1.74,Blue Cut,Hospital,0,1,0,106
Bifocal,-3.78,1.74,Photochromic,Retail,0,0,3,86
Progressive,-6.38,1.67,Photochromic,Premium,1,1,1,81
Bifocal,0.09,1.50,Standard,Hospital,1,0,1,95
Progressive,-7.96,1.67,Anti Glare,Hospital,1,1,3,112
Single Vision,-0.86,1.50,Standard,Retail,1,1,0,31
Bifocal,-1.95,1.67,Anti Glare,Premium,1,0,3,109
Single Vision,-6.52,1.50,Anti Glare,Premium,1,1,3,46
Single Vision,-1.27,1.50,Standard,Hospital,1,1,0,19
Bifocal,2.73,1.50,Anti Glare,Premium,1,1,1,61
Single Vision,3.02,1.50,Blue Cut,Retail,0,1,0,46
Bifocal,3.28,1.67,Standard,Premium,1,0,2,95
Single Vision,-0.77,1.67,Blue Cut,Hospital,0,1,2,54
Progressive,1.9,1.56,Anti Glare,Retail,0,0,1,124
Bifocal,-6.8,1.67,Photochromic,Retail,0,1,3,100
Bifocal,0.19,1.56,Standard,Retail,1,1,2,67
Progressive,-6.72,1.50,Standard,Retail,1,0,3,110
Progressive,2.68,1.56,Anti Glare,Hospital,0,0,0,95
Single Vision,1.86,1.50,Standard,Retail,0,1,1,37
Progressive,1.75,1.50,Photochromic,Hospital,1,1,1,95
Bifocal,3.73,1.67,Blue Cut,Hospital,1,0,0,105
Bifocal,-7.02,1.56,Anti Glare,Retail,0,0,1,92
Progressive,-6.54,1.56,Blue Cut,Retail,0,0,2,102
Single Vision,-7.12,1.56,Anti Glare,Retail,0,1,1,41
Progressive,-1.01,1.74,Photochromic,Premium,1,0,0,115
Progressive,2.53,1.56,Photochromic,Retail,1,0,3,143
Single Vision,-0.84,1.56,Blue Cut,Premium,1,0,0,71
Progressive,-5.01,1.74,Blue Cut,Hospital,0,0,0,110
Progressive,-2.81,1.74,Photochromic,Hospital,0,0,1,113
Single Vision,-7.09,1.50,Blue Cut,Premium,1,1,0,37
Bifocal,-0.18,1.74,Anti Glare,Hospital,1,0,2,71
Bifocal,-5.39,1.67,Standard,Premium,0,0,0,97
Bifocal,-2.69,1.50,Photochromic,Premium,1,0,3,77
Bifocal,0.27,1.50,Photochromic,Premium,1,0,1,100
Bifocal,3.76,1.67,Standard,Premium,0,1,0,41
Bifocal,-6.4,1.74,Blue Cut,Retail,0,0,1,110
Bifocal,-4.58,1.50,Anti Glare,Hospital,1,1,3,50
Bifocal,2.39,1.50,Anti Glare,Retail,1,1,2,51
Progressive,3.91,1.56,Photochromic,Hospital,0,1,3,107
Bifocal,-2.58,1.50,Photochromic,Retail,1,1,2,62
Single Vision,-7.31,1.67,Standard,Retail,0,0,3,82
Bifocal,2.68,1.74,Photochromic,Hospital,1,1,2,69
Progressive,-6.59,1.56,Blue Cut,Hospital,1,1,3,92
Single Vision,-1.29,1.56,Standard,Retail,0,0,2,50
Progressive,-2.87,1.56,Anti Glare,Retail,1,1,1,80
Single Vision,-5.53,1.67,Anti Glare,Hospital,1,0,3,94
Progressive,-1.27,1.67,Blue Cut,Premium,1,1,1,73
Progressive,-1.61,1.50,Standard,Premium,1,1,1,44
Bifocal,-0.24,1.74,Blue Cut,Retail,1,1,2,79
Single Vision,-7.33,1.50,Photochromic,Hospital,0,0,2,96
Bifocal,-4.61,1.56,Blue Cut,Hospital,1,0,1,81
Single Vision,0.55,1.74,Photochromic,Retail,0,1,3,68
Progressive,-0.11,1.50,Standard,Hospital,1,0,2,93
Progressive,0.28,1.74,Photochromic,Hospital,0,1,0,99
Bifocal,1.73,1.50,Photochromic,Hospital,0,0,0,103
Single Vision,-2.87,1.56,Standard,Retail,1,1,3,49
Bifocal,0.28,1.56,Anti Glare,Hospital,0,0,1,88
Progressive,-7.49,1.67,Anti Glare,Retail,1,0,0,95
Bifocal,2.27,1.67,Anti Glare,Premium,0,1,3,83
Bifocal,-3.74,1.67,Blue Cut,Retail,1,0,1,85
Single Vision,-3.67,1.74,Anti Glare,Hospital,0,0,3,79
Progressive,3.73,1.67,Standard,Hospital,1,0,1,136
Single Vision,0.92,1.67,Photochromic,Hospital,1,0,3,79
Progressive,-1.84,1.56,Standard,Hospital,0,1,1,95
Progressive,-0.96,1.50,Standard,Retail,0,1,0,90
Single Vision,-1.03,1.56,Blue Cut,Retail,0,0,2,60
Single Vision,-1.0,1.56,Standard,Retail,0,1,2,49
Progressive,-1.63,1.67,Photochromic,Hospital,1,1,1,66
Progressive,-0.88,1.50,Blue Cut,Hospital,0,0,3,131
Bifocal,-5.73,1.67,Anti Glare,Retail,1,1,2,75
Bifocal,-0.46,1.74,Photochromic,Premium,0,1,1,73
Progressive,0.51,1.67,Anti Glare,Premium,1,1,1,74
Progressive,-2.7,1.56,Blue Cut,Hospital,1,0,2,90
Single Vision,-6.03,1.50,Blue Cut,Hospital,1,1,2,51
Progressive,-7.51,1.50,Anti Glare,Retail,0,1,2,86
Single Vision,-2.01,1.74,Standard,Retail,0,0,1,73
Single Vision,-7.89,1.50,Anti Glare,Hospital,1,0,1,90
Single Vision,-1.42,1.67,Standard,Hospital,1,1,0,26
Bifocal,-0.54,1.56,Standard,Hospital,0,1,0,63
Progressive,-7.48,1.50,Photochromic,Retail,1,1,3,77
Progressive,-1.87,1.74,Anti Glare,Retail,0,0,3,110
Progressive,0.9,1.56,Standard,Premium,1,1,1,87
Progressive,-3.07,1.56,Blue Cut,Retail,1,1,0,83
Bifocal,-2.29,1.74,Anti Glare,Hospital,1,0,1,58
Bifocal,-3.71,1.56,Anti Glare,Retail,1,1,1,63
Bifocal,0.97,1.74,Blue Cut,Hospital,1,1,0,34
Progressive,-3.92,1.74,Photochromic,Premium,1,0,1,98
Bifocal,-5.25,1.50,Anti Glare,Hospital,1,0,2,89
Progressive,-5.49,1.50,Photochromic,Hospital,1,0,0,99
Single Vision,-6.14,1.74,Standard,Premium,0,1,3,80
Single Vision,-7.79,1.67,Photochromic,Retail,1,0,2,97
Progressive,-3.9,1.67,Photochromic,Premium,0,1,1,92
Single Vision,1.09,1.74,Photochromic,Premium,1,1,0,46
Progressive,0.15,1.67,Anti Glare,Premium,0,1,3,97
Progressive,-5.45,1.50,Anti Glare,Premium,1,1,1,64
Bifocal,-0.09,1.56,Blue Cut,Hospital,1,0,3,97
Bifocal,-5.9,1.74,Blue Cut,Hospital,0,1,0,87
